entry_id,created_at,pir,ir,color code,alert,part_name,part_type,material,product_id,defect_type,defect_location
21,2025-06-09T09:41:01+00:00,0,0,0,1,Spark Plug,Engine Parts,Aluminum,10021,Functional,Internal
22,2025-06-09T09:12:03+00:00,1,1,0,1,Radiator,Electrical,Aluminum,10022,Structural,Internal
23,2025-06-09T09:16:00+00:00,0,1,1,1,Headlight Assembly,Cooling,Plastic,10023,Structural,Component
24,2025-06-09T10:11:12+00:00,0,0,0,1,Headlight Assembly,Electrical,Metal,10024,Cosmetic,Component
25,2025-06-09T09:33:08+00:00,0,0,0,1,Headlight Assembly,Brake System,Plastic,10025,Cosmetic,Surface
26,2025-06-09T09:41:01+00:00,0,0,0,1,Radiator,Fuel System,Plastic,10026,Functional,Component
27,2025-06-09T09:31:34+00:00,1,0,0,0,Windshield Wiper,Ignition,Aluminum,10027,Cosmetic,Component
28,2025-06-09T09:30:19+00:00,1,0,0,1,Air Filter,Fuel System,Synthetic,10028,Structural,Component
29,2025-06-09T09:25:33+00:00,0,0,0,0,Spark Plug,Engine Parts,Aluminum,10029,Functional,Internal
30,2025-06-09T10:05:53+00:00,0,0,0,1,Alternator,Fuel System,Ceramic,10030,Functional,Component
31,2025-06-09T10:09:52+00:00,0,0,0,0,Alternator,Engine Parts,Aluminum,10031,Functional,Surface
32,2025-06-09T10:00:21+00:00,1,0,0,0,Engine Oil Filter,Cooling,Ceramic,10032,Functional,Surface
33,2025-06-09T09:09:11+00:00,0,0,0,0,Engine Oil Filter,Lighting,Synthetic,10033,Functional,Internal
34,2025-06-09T09:30:01+00:00,0,0,0,1,Radiator,Electrical,Plastic,10034,Structural,Surface
35,2025-06-09T09:44:02+00:00,1,0,2,0,Spark Plug,Electrical,Aluminum,10035,Functional,Internal
36,2025-06-09T09:30:00+00:00,0,0,0,0,Battery,Brake System,Metal,10036,Functional,Component
37,2025-06-09T09:29:42+00:00,1,0,0,0,Headlight Assembly,Electrical,Plastic,10037,Cosmetic,Component
38,2025-06-09T09:08:31+00:00,1,0,0,1,Alternator,Ignition,Metal,10038,Functional,Component
39,2025-06-09T10:02:40+00:00,0,1,0,1,Engine Oil Filter,Engine Parts,Metal,10039,Structural,Internal
40,2025-06-09T09:13:59+00:00,1,0,0,1,Spark Plug,Electrical,Ceramic,10040,Structural,Component
41,2025-06-09T10:16:15+00:00,0,0,0,1,Alternator,Engine Parts,Synthetic,10041,Structural,Surface
42,2025-06-09T09:26:49+00:00,0,0,2,1,Radiator,Brake System,Metal,10042,Functional,Internal
43,2025-06-09T09:08:32+00:00,1,0,0,1,Headlight Assembly,Brake System,Plastic,10043,Functional,Component
44,2025-06-09T09:11:44+00:00,0,0,0,0,Engine Oil Filter,Engine Parts,Metal,10044,Functional,Internal
45,2025-06-09T09:24:18+00:00,0,0,0,0,Engine Oil Filter,Electrical,Synthetic,10045,Structural,Component
46,2025-06-09T09:38:03+00:00,0,0,0,0,Headlight Assembly,Ignition,Plastic,10046,Functional,Component
47,2025-06-09T09:12:04+00:00,1,0,0,0,Alternator,Engine Parts,Aluminum,10047,Structural,Internal
48,2025-06-09T09:24:36+00:00,1,0,0,0,Engine Oil Filter,Cooling,Plastic,10048,Structural,Surface
49,2025-06-09T09:56:23+00:00,1,0,0,1,Headlight Assembly,Brake System,Ceramic,10049,Functional,Surface
50,2025-06-09T09:23:01+00:00,1,0,0,1,Engine Oil Filter,Engine Parts,Plastic,10050,Structural,Internal
51,2025-06-09T10:11:55+00:00,0,0,0,1,Headlight Assembly,Electrical,Plastic,10051,Cosmetic,Surface
52,2025-06-09T09:47:36+00:00,0,0,0,1,Air Filter,Engine Parts,Ceramic,10052,Structural,Surface
53,2025-06-09T09:20:08+00:00,0,0,0,1,Engine Oil Filter,Engine Parts,Ceramic,10053,Cosmetic,Component
54,2025-06-09T09:26:12+00:00,1,0,0,0,Spark Plug,Brake System,Ceramic,10054,Structural,Component
55,2025-06-09T09:44:01+00:00,0,0,0,1,Fuel Tank,Electrical,Ceramic,10055,Structural,Surface
56,2025-06-09T09:39:44+00:00,0,0,0,0,Brake Pad,Electrical,Aluminum,10056,Structural,Component
57,2025-06-09T09:33:27+00:00,1,0,0,1,Brake Pad,Electrical,Aluminum,10057,Cosmetic,Component
58,2025-06-09T09:49:52+00:00,0,0,0,0,Headlight Assembly,Engine Parts,Ceramic,10058,Structural,Internal
59,2025-06-09T09:51:28+00:00,1,0,1,1,Fuel Tank,Engine Parts,Synthetic,10059,Structural,Surface
60,2025-06-09T09:32:31+00:00,0,0,0,1,Windshield Wiper,Engine Parts,Metal,10060,Cosmetic,Component
61,2025-06-09T09:34:45+00:00,0,0,0,0,Engine Oil Filter,Brake System,Ceramic,10061,Functional,Internal
62,2025-06-09T10:07:50+00:00,0,0,0,1,Brake Pad,Electrical,Metal,10062,Structural,Internal
63,2025-06-09T10:01:04+00:00,1,0,1,0,Headlight Assembly,Brake System,Aluminum,10063,Cosmetic,Component
64,2025-06-09T09:06:33+00:00,1,0,0,1,Air Filter,Fuel System,Aluminum,10064,Cosmetic,Surface
65,2025-06-09T10:08:34+00:00,0,0,0,0,Brake Pad,Fuel System,Ceramic,10065,Functional,Surface
66,2025-06-09T09:14:00+00:00,1,0,0,1,Alternator,Fuel System,Synthetic,10066,Structural,Internal
67,2025-06-09T09:10:09+00:00,0,0,0,1,Spark Plug,Engine Parts,Synthetic,10067,Structural,Component
68,2025-06-09T09:10:08+00:00,0,0,0,1,Windshield Wiper,Engine Parts,Ceramic,10068,Cosmetic,Surface
69,2025-06-09T09:34:45+00:00,0,0,0,1,Alternator,Electrical,Ceramic,10069,Cosmetic,Internal
70,2025-06-09T09:41:42+00:00,1,0,0,1,Windshield Wiper,Electrical,Ceramic,10070,Cosmetic,Internal
71,2025-06-09T09:46:20+00:00,0,0,0,1,Fuel Tank,Electrical,Synthetic,10071,Structural,Surface
72,2025-06-09T10:08:33+00:00,1,0,0,0,Spark Plug,Brake System,Metal,10072,Structural,Internal
73,2025-06-09T09:12:43+00:00,0,0,0,1,Headlight Assembly,Electrical,Plastic,10073,Structural,Surface
74,2025-06-09T09:40:42+00:00,1,1,0,1,Radiator,Ignition,Plastic,10074,Structural,Internal
75,2025-06-09T09:52:26+00:00,0,0,0,1,Windshield Wiper,Brake System,Plastic,10075,Functional,Component
76,2025-06-09T09:30:39+00:00,1,1,0,0,Battery,Electrical,Metal,10076,Functional,Surface
77,2025-06-09T10:00:04+00:00,1,1,0,1,Spark Plug,Electrical,Ceramic,10077,Structural,Internal
78,2025-06-09T09:59:05+00:00,0,0,0,0,Air Filter,Electrical,Synthetic,10078,Functional,Component
79,2025-06-09T09:24:55+00:00,0,0,0,1,Battery,Exterior,Ceramic,10079,Cosmetic,Surface
80,2025-06-09T10:16:34+00:00,1,0,0,0,Headlight Assembly,Fuel System,Metal,10080,Structural,Internal
81,2025-06-09T09:33:27+00:00,0,0,0,0,Fuel Tank,Ignition,Plastic,10081,Structural,Component
82,2025-06-09T09:52:25+00:00,1,0,0,0,Windshield Wiper,Brake System,Ceramic,10082,Functional,Internal
83,2025-06-09T09:35:46+00:00,1,0,1,1,Brake Pad,Exterior,Synthetic,10083,Cosmetic,Component
84,2025-06-09T10:00:41+00:00,1,0,0,1,Battery,Fuel System,Aluminum,10084,Cosmetic,Component
85,2025-06-09T09:31:54+00:00,1,0,0,1,Windshield Wiper,Fuel System,Plastic,10085,Cosmetic,Internal
86,2025-06-09T10:00:04+00:00,0,0,0,1,Air Filter,Cooling,Metal,10086,Functional,Component
87,2025-06-09T10:11:33+00:00,0,0,0,0,Brake Pad,Fuel System,Synthetic,10087,Functional,Component
88,2025-06-09T09:44:02+00:00,1,0,0,0,Brake Pad,Electrical,Metal,10088,Structural,Component
89,2025-06-09T09:23:01+00:00,0,0,2,1,Engine Oil Filter,Lighting,Plastic,10089,Functional,Surface
90,2025-06-09T10:14:35+00:00,1,0,0,1,Spark Plug,Electrical,Aluminum,10090,Cosmetic,Internal
91,2025-06-09T09:30:19+00:00,1,0,0,1,Headlight Assembly,Brake System,Aluminum,10091,Structural,Surface
92,2025-06-09T09:29:23+00:00,1,0,1,0,Battery,Fuel System,Aluminum,10092,Cosmetic,Internal
93,2025-06-09T10:04:14+00:00,0,0,0,1,Alternator,Brake System,Plastic,10093,Cosmetic,Internal
94,2025-06-09T09:57:28+00:00,1,0,0,0,Headlight Assembly,Fuel System,Ceramic,10094,Functional,Surface
95,2025-06-09T09:10:28+00:00,1,0,0,1,Air Filter,Ignition,Synthetic,10095,Cosmetic,Component
96,2025-06-09T09:16:42+00:00,1,0,0,0,Spark Plug,Engine Parts,Synthetic,10096,Functional,Internal
97,2025-06-09T09:11:45+00:00,0,0,1,0,Windshield Wiper,Exterior,Synthetic,10097,Functional,Component
98,2025-06-09T09:08:31+00:00,1,0,0,1,Air Filter,Electrical,Ceramic,10098,Cosmetic,Component
99,2025-06-09T09:36:45+00:00,0,0,2,1,Alternator,Engine Parts,Metal,10099,Structural,Component
100,2025-06-09T09:33:46+00:00,0,0,0,0,Radiator,Fuel System,Synthetic,10100,Functional,Surface
101,2025-06-09T09:20:08+00:00,0,0,0,1,Radiator,Engine Parts,Aluminum,10101,Functional,Component
102,2025-06-09T09:46:39+00:00,0,0,2,0,Engine Oil Filter,Brake System,Aluminum,10102,Structural,Internal
103,2025-06-09T10:02:21+00:00,1,0,0,1,Alternator,Engine Parts,Ceramic,10103,Structural,Component
104,2025-06-09T09:42:41+00:00,1,0,0,1,Fuel Tank,Exterior,Plastic,10104,Structural,Component
105,2025-06-09T10:16:34+00:00,1,0,0,0,Headlight Assembly,Engine Parts,Plastic,10105,Structural,Internal
106,2025-06-09T09:24:17+00:00,1,0,0,1,Spark Plug,Electrical,Ceramic,10106,Functional,Component
107,2025-06-09T09:25:34+00:00,1,0,0,0,Spark Plug,Engine Parts,Aluminum,10107,Structural,Internal
108,2025-06-09T09:56:24+00:00,1,1,0,1,Brake Pad,Engine Parts,Ceramic,10108,Functional,Component
109,2025-06-09T09:25:33+00:00,1,0,0,1,Engine Oil Filter,Lighting,Plastic,10109,Cosmetic,Component
110,2025-06-09T09:51:47+00:00,1,0,0,1,Alternator,Cooling,Ceramic,10110,Cosmetic,Internal
111,2025-06-09T09:46:02+00:00,1,0,2,0,Spark Plug,Lighting,Ceramic,10111,Cosmetic,Component
112,2025-06-09T09:07:15+00:00,0,0,0,0,Windshield Wiper,Engine Parts,Ceramic,10112,Cosmetic,Internal
113,2025-06-09T09:10:09+00:00,0,0,0,0,Alternator,Lighting,Metal,10113,Cosmetic,Component
114,2025-06-09T09:31:53+00:00,0,0,0,0,Headlight Assembly,Electrical,Ceramic,10114,Functional,Internal
115,2025-06-09T09:30:39+00:00,1,0,0,1,Engine Oil Filter,Engine Parts,Metal,10115,Functional,Component
116,2025-06-09T09:30:19+00:00,0,0,0,1,Radiator,Cooling,Aluminum,10116,Functional,Component
117,2025-06-09T09:33:45+00:00,0,0,0,0,Brake Pad,Brake System,Aluminum,10117,Structural,Component
118,2025-06-09T09:17:57+00:00,0,0,0,1,Brake Pad,Brake System,Metal,10118,Functional,Internal
119,2025-06-09T09:46:40+00:00,0,1,0,0,Fuel Tank,Fuel System,Synthetic,10119,Functional,Component
120,2025-06-09T09:14:41+00:00,1,0,0,1,Fuel Tank,Lighting,Aluminum,10120,Cosmetic,Component
121,2025-06-09T09:39:23+00:00,1,0,0,1,Fuel Tank,Engine Parts,Plastic,10121,Functional,Component
122,2025-06-09T09:16:42+00:00,1,0,0,1,Headlight Assembly,Fuel System,Plastic,10122,Structural,Component
123,2025-06-09T09:08:31+00:00,1,0,0,0,Engine Oil Filter,Brake System,Aluminum,10123,Functional,Component
124,2025-06-09T10:16:33+00:00,0,0,0,1,Engine Oil Filter,Electrical,Metal,10124,Cosmetic,Internal
125,2025-06-09T10:14:35+00:00,1,0,0,1,Engine Oil Filter,Cooling,Metal,10125,Functional,Surface
126,2025-06-09T09:13:41+00:00,0,0,0,0,Radiator,Engine Parts,Plastic,10126,Cosmetic,Surface
127,2025-06-09T09:51:28+00:00,0,0,0,1,Windshield Wiper,Brake System,Aluminum,10127,Structural,Surface
128,2025-06-09T09:37:04+00:00,0,0,0,1,Fuel Tank,Exterior,Ceramic,10128,Functional,Component
129,2025-06-09T09:55:43+00:00,1,0,0,1,Radiator,Brake System,Aluminum,10129,Functional,Component
130,2025-06-09T10:16:33+00:00,0,0,0,1,Engine Oil Filter,Fuel System,Metal,10130,Cosmetic,Component
131,2025-06-09T10:11:55+00:00,1,0,0,1,Air Filter,Exterior,Synthetic,10131,Structural,Component
132,2025-06-09T10:10:52+00:00,1,0,0,0,Alternator,Engine Parts,Plastic,10132,Structural,Component
133,2025-06-09T09:17:38+00:00,0,0,0,1,Alternator,Electrical,Ceramic,10133,Structural,Component
134,2025-06-09T09:16:20+00:00,1,0,1,0,Air Filter,Fuel System,Synthetic,10134,Cosmetic,Component
135,2025-06-09T10:10:52+00:00,0,0,0,0,Alternator,Exterior,Ceramic,10135,Cosmetic,Component
136,2025-06-09T10:12:37+00:00,1,0,0,1,Headlight Assembly,Brake System,Aluminum,10136,Cosmetic,Internal
137,2025-06-09T09:13:59+00:00,1,0,0,1,Alternator,Engine Parts,Plastic,10137,Functional,Component
138,2025-06-09T09:17:19+00:00,1,0,0,0,Brake Pad,Electrical,Metal,10138,Functional,Internal
139,2025-06-09T09:53:44+00:00,1,0,0,0,Windshield Wiper,Exterior,Ceramic,10139,Functional,Surface
140,2025-06-09T09:07:34+00:00,0,0,0,0,Fuel Tank,Cooling,Aluminum,10140,Functional,Surface
141,2025-06-09T09:09:30+00:00,0,0,0,0,Radiator,Cooling,Aluminum,10141,Functional,Internal
142,2025-06-09T09:09:30+00:00,0,0,0,1,Headlight Assembly,Engine Parts,Ceramic,10142,Functional,Internal
143,2025-06-09T09:24:18+00:00,1,0,0,1,Spark Plug,Fuel System,Plastic,10143,Structural,Surface
144,2025-06-09T09:16:00+00:00,0,0,1,1,Headlight Assembly,Exterior,Synthetic,10144,Functional,Component
145,2025-06-09T09:39:44+00:00,0,0,0,1,Windshield Wiper,Exterior,Plastic,10145,Functional,Internal
146,2025-06-09T10:12:37+00:00,0,1,0,1,Radiator,Engine Parts,Ceramic,10146,Functional,Component
147,2025-06-09T09:55:23+00:00,1,0,2,1,Battery,Lighting,Ceramic,10147,Functional,Internal
148,2025-06-09T09:13:20+00:00,1,0,0,1,Fuel Tank,Ignition,Plastic,10148,Structural,Component
149,2025-06-09T09:43:10+00:00,0,1,3,0,Radiator,Ignition,Ceramic,10149,Functional,Surface
150,2025-06-09T09:38:03+00:00,1,0,0,0,Air Filter,Engine Parts,Plastic,10150,Structural,Internal
151,2025-06-09T10:01:23+00:00,0,0,0,1,Brake Pad,Fuel System,Aluminum,10151,Cosmetic,Internal
152,2025-06-09T09:09:11+00:00,0,1,0,0,Battery,Engine Parts,Plastic,10152,Structural,Internal
153,2025-06-09T09:24:36+00:00,0,0,0,1,Spark Plug,Engine Parts,Aluminum,10153,Structural,Internal
154,2025-06-09T09:26:31+00:00,1,0,0,0,Air Filter,Engine Parts,Metal,10154,Functional,Internal
155,2025-06-09T10:16:33+00:00,0,0,1,1,Spark Plug,Electrical,Ceramic,10155,Cosmetic,Surface
156,2025-06-09T09:32:31+00:00,1,0,0,1,Headlight Assembly,Brake System,Plastic,10156,Functional,Component
157,2025-06-09T09:47:36+00:00,0,0,1,0,Spark Plug,Fuel System,Plastic,10157,Cosmetic,Surface
158,2025-06-09T09:09:50+00:00,0,1,0,0,Battery,Fuel System,Ceramic,10158,Structural,Surface
159,2025-06-09T10:02:58+00:00,0,0,0,1,Spark Plug,Engine Parts,Ceramic,10159,Cosmetic,Internal
160,2025-06-09T09:26:50+00:00,0,1,0,0,Brake Pad,Engine Parts,Plastic,10160,Cosmetic,Surface
161,2025-06-09T10:07:31+00:00,0,0,0,1,Battery,Engine Parts,Plastic,10161,Structural,Internal
162,2025-06-09T09:10:08+00:00,1,0,0,0,Battery,Lighting,Synthetic,10162,Functional,Component
163,2025-06-09T09:39:03+00:00,1,0,0,0,Radiator,Ignition,Ceramic,10163,Structural,Component
164,2025-06-09T09:38:24+00:00,1,0,0,0,Headlight Assembly,Engine Parts,Plastic,10164,Functional,Component
165,2025-06-09T10:03:55+00:00,0,1,0,0,Headlight Assembly,Engine Parts,Plastic,10165,Functional,Internal
166,2025-06-09T09:36:06+00:00,0,0,0,0,Brake Pad,Electrical,Metal,10166,Functional,Internal
167,2025-06-09T09:36:07+00:00,1,0,1,1,Radiator,Electrical,Metal,10167,Structural,Component
168,2025-06-09T09:40:02+00:00,0,0,1,1,Alternator,Electrical,Synthetic,10168,Structural,Component
169,2025-06-09T09:33:09+00:00,0,0,0,0,Alternator,Cooling,Ceramic,10169,Structural,Internal
170,2025-06-09T09:47:37+00:00,0,0,0,0,Brake Pad,Brake System,Aluminum,10170,Functional,Component
171,2025-06-09T09:40:02+00:00,1,0,0,1,Alternator,Fuel System,Metal,10171,Cosmetic,Component
172,2025-06-09T09:17:37+00:00,0,0,0,0,Headlight Assembly,Fuel System,Ceramic,10172,Cosmetic,Component
173,2025-06-09T09:59:43+00:00,1,0,0,0,Headlight Assembly,Brake System,Ceramic,10173,Structural,Internal
174,2025-06-09T10:08:53+00:00,0,0,0,1,Radiator,Exterior,Aluminum,10174,Structural,Surface
175,2025-06-09T09:06:32+00:00,0,0,0,1,Alternator,Electrical,Synthetic,10175,Structural,Component
176,2025-06-09T09:19:12+00:00,0,0,0,0,Radiator,Exterior,Synthetic,10176,Functional,Surface
177,2025-06-09T10:06:53+00:00,1,0,0,0,Brake Pad,Exterior,Synthetic,10177,Functional,Component
178,2025-06-09T09:14:22+00:00,1,0,0,0,Alternator,Cooling,Ceramic,10178,Functional,Internal
179,2025-06-09T09:23:21+00:00,0,0,1,1,Fuel Tank,Fuel System,Aluminum,10179,Functional,Component
180,2025-06-09T09:10:09+00:00,1,0,0,0,Alternator,Engine Parts,Plastic,10180,Functional,Surface
181,2025-06-09T10:03:56+00:00,1,0,0,0,Spark Plug,Ignition,Ceramic,10181,Functional,Surface
182,2025-06-09T09:50:51+00:00,1,0,0,1,Brake Pad,Electrical,Synthetic,10182,Structural,Component
183,2025-06-09T10:07:51+00:00,0,0,0,1,Alternator,Lighting,Aluminum,10183,Cosmetic,Internal
184,2025-06-09T10:16:33+00:00,0,1,1,0,Alternator,Engine Parts,Ceramic,10184,Structural,Internal
185,2025-06-09T10:02:39+00:00,0,0,0,1,Engine Oil Filter,Lighting,Synthetic,10185,Functional,Surface
186,2025-06-09T09:27:09+00:00,0,1,0,1,Radiator,Engine Parts,Plastic,10186,Functional,Internal
187,2025-06-09T09:21:25+00:00,1,0,0,0,Engine Oil Filter,Cooling,Aluminum,10187,Structural,Internal
188,2025-06-09T09:38:03+00:00,1,0,0,0,Air Filter,Brake System,Metal,10188,Functional,Surface
189,2025-06-09T09:36:45+00:00,0,0,0,0,Fuel Tank,Fuel System,Synthetic,10189,Functional,Internal
190,2025-06-09T09:13:02+00:00,1,0,0,1,Brake Pad,Engine Parts,Ceramic,10190,Structural,Surface
191,2025-06-09T09:46:39+00:00,1,1,0,0,Radiator,Brake System,Ceramic,10191,Structural,Component
192,2025-06-09T10:10:52+00:00,1,0,0,1,Windshield Wiper,Ignition,Plastic,10192,Cosmetic,Component
193,2025-06-09T09:22:03+00:00,1,0,0,1,Engine Oil Filter,Fuel System,Aluminum,10193,Cosmetic,Surface
194,2025-06-09T09:11:45+00:00,1,0,0,1,Alternator,Lighting,Plastic,10194,Functional,Component
195,2025-06-09T09:42:02+00:00,1,0,0,1,Air Filter,Cooling,Synthetic,10195,Structural,Surface
196,2025-06-09T09:09:29+00:00,1,0,0,0,Spark Plug,Electrical,Aluminum,10196,Functional,Internal
197,2025-06-09T09:09:49+00:00,1,0,0,0,Engine Oil Filter,Engine Parts,Metal,10197,Structural,Surface
198,2025-06-09T10:15:14+00:00,1,0,0,1,Brake Pad,Lighting,Synthetic,10198,Structural,Internal
199,2025-06-09T10:01:23+00:00,1,0,1,1,Windshield Wiper,Cooling,Aluminum,10199,Functional,Component
200,2025-06-09T09:42:02+00:00,0,0,0,0,Headlight Assembly,Ignition,Ceramic,10200,Functional,Component
201,2025-06-09T10:01:41+00:00,0,0,0,1,Radiator,Brake System,Aluminum,10201,Structural,Internal
202,2025-06-09T09:43:43+00:00,1,0,0,1,Windshield Wiper,Exterior,Metal,10202,Functional,Internal
203,2025-06-09T10:07:31+00:00,0,0,0,0,Headlight Assembly,Brake System,Aluminum,10203,Cosmetic,Component
204,2025-06-09T09:52:07+00:00,0,0,0,1,Brake Pad,Brake System,Synthetic,10204,Cosmetic,Surface
205,2025-06-09T10:04:52+00:00,1,0,0,1,Engine Oil Filter,Engine Parts,Plastic,10205,Functional,Internal
206,2025-06-09T09:37:42+00:00,1,0,0,1,Headlight Assembly,Cooling,Ceramic,10206,Functional,Component
207,2025-06-09T09:44:21+00:00,1,0,0,0,Alternator,Fuel System,Ceramic,10207,Cosmetic,Surface
208,2025-06-09T09:44:21+00:00,1,0,0,0,Engine Oil Filter,Engine Parts,Plastic,10208,Cosmetic,Internal
209,2025-06-09T09:29:41+00:00,0,0,0,0,Alternator,Electrical,Ceramic,10209,Cosmetic,Component
210,2025-06-09T09:37:04+00:00,0,0,0,1,Alternator,Engine Parts,Metal,10210,Cosmetic,Surface
211,2025-06-09T10:15:14+00:00,1,0,0,1,Fuel Tank,Ignition,Aluminum,10211,Structural,Surface
212,2025-06-09T09:58:27+00:00,0,0,0,1,Alternator,Lighting,Metal,10212,Structural,Internal
213,2025-06-09T09:34:46+00:00,1,0,2,0,Spark Plug,Exterior,Aluminum,10213,Functional,Internal
214,2025-06-09T10:03:18+00:00,1,0,0,1,Spark Plug,Electrical,Ceramic,10214,Cosmetic,Component
215,2025-06-09T10:06:13+00:00,0,0,2,0,Spark Plug,Cooling,Ceramic,10215,Structural,Internal
216,2025-06-09T10:05:53+00:00,1,0,0,0,Radiator,Cooling,Metal,10216,Functional,Internal
217,2025-06-09T09:11:26+00:00,1,0,0,0,Engine Oil Filter,Brake System,Synthetic,10217,Structural,Component
218,2025-06-09T09:42:19+00:00,1,0,0,0,Headlight Assembly,Brake System,Plastic,10218,Structural,Component
219,2025-06-09T10:02:21+00:00,1,0,0,1,Battery,Electrical,Ceramic,10219,Structural,Surface
220,2025-06-09T10:01:23+00:00,0,0,0,1,Fuel Tank,Ignition,Metal,10220,Functional,Internal
221,2025-06-09T10:03:17+00:00,0,0,0,1,Radiator,Brake System,Plastic,10221,Functional,Internal
222,2025-06-09T10:05:53+00:00,1,0,0,1,Headlight Assembly,Electrical,Ceramic,10222,Functional,Internal
223,2025-06-09T09:23:40+00:00,1,0,0,1,Air Filter,Ignition,Metal,10223,Structural,Component
224,2025-06-09T09:47:36+00:00,1,0,0,1,Headlight Assembly,Electrical,Ceramic,10224,Structural,Component
225,2025-06-09T10:02:58+00:00,1,0,0,1,Air Filter,Engine Parts,Plastic,10225,Cosmetic,Surface
226,2025-06-09T10:11:12+00:00,1,1,0,1,Alternator,Electrical,Aluminum,10226,Cosmetic,Component
227,2025-06-09T10:09:52+00:00,0,0,0,1,Spark Plug,Brake System,Metal,10227,Functional,Component
228,2025-06-09T09:26:12+00:00,1,0,0,0,Spark Plug,Brake System,Plastic,10228,Functional,Surface
229,2025-06-09T09:36:25+00:00,1,0,0,1,Alternator,Engine Parts,Metal,10229,Functional,Internal
230,2025-06-09T09:33:27+00:00,1,1,0,1,Windshield Wiper,Electrical,Aluminum,10230,Structural,Surface
231,2025-06-09T09:33:45+00:00,1,0,0,0,Windshield Wiper,Ignition,Synthetic,10231,Structural,Surface
232,2025-06-09T09:19:12+00:00,0,0,0,1,Alternator,Brake System,Metal,10232,Functional,Surface
233,2025-06-09T10:16:14+00:00,1,0,0,0,Engine Oil Filter,Exterior,Plastic,10233,Structural,Internal
234,2025-06-09T09:19:50+00:00,1,0,0,1,Air Filter,Engine Parts,Aluminum,10234,Structural,Internal
235,2025-06-09T10:11:54+00:00,1,0,0,0,Engine Oil Filter,Electrical,Ceramic,10235,Cosmetic,Component
236,2025-06-09T09:56:24+00:00,0,0,0,1,Headlight Assembly,Engine Parts,Ceramic,10236,Cosmetic,Surface
237,2025-06-09T10:11:13+00:00,1,0,0,1,Brake Pad,Electrical,Metal,10237,Functional,Internal
238,2025-06-09T09:14:22+00:00,1,0,0,1,Headlight Assembly,Cooling,Plastic,10238,Structural,Component
239,2025-06-09T10:00:04+00:00,0,0,0,0,Fuel Tank,Electrical,Ceramic,10239,Cosmetic,Surface
240,2025-06-09T09:24:37+00:00,1,0,0,1,Radiator,Electrical,Metal,10240,Structural,Internal
241,2025-06-09T09:13:59+00:00,0,0,0,1,Fuel Tank,Electrical,Aluminum,10241,Functional,Internal
242,2025-06-09T09:52:07+00:00,1,0,0,1,Fuel Tank,Engine Parts,Plastic,10242,Functional,Internal
243,2025-06-09T09:20:28+00:00,0,0,0,1,Windshield Wiper,Electrical,Metal,10243,Cosmetic,Internal
244,2025-06-09T09:15:20+00:00,1,0,0,0,Alternator,Electrical,Metal,10244,Functional,Internal
245,2025-06-09T09:52:07+00:00,1,0,2,0,Spark Plug,Fuel System,Ceramic,10245,Structural,Internal
246,2025-06-09T10:17:49+00:00,0,0,0,1,Alternator,Fuel System,Ceramic,10246,Functional,Internal
